brokered_by,status,price,bed,bath,acre_lot,street,city,state,zip_code,house_size,prev_sold_date,duplicate
45807,Unknown,,-,9,nan,,,Unknown,44442,6.266500229568411e-05,04/17/91,-1
-1,-,,-,,,Unknown,Wichita,-,67207,150.0,,105
nan,sold,-,4,8,,,Great Falls,-,59405,-,2021-11-09,126
22611,for_sale,215000,3,Unknown,0.12,,-,Illinois,-1,,-,-1
-1,Unknown,,8,Unknown,4.44,699 Wilson Dr,Crossville,Unknown,38555,7566.0,Unknown,123
56699,s,-,,-,50.0,Unknown,,MO,nan,0.00030435749540863176,03/04/22,-1
-1,,11800,,Unknown,46.0,162 Mill St,,,nan,Unknown,2011-11-14,104
nan,Unknown,27000,-,Unknown,0.007,977 Adams Blvd,Westford,Unknown,1886,9657.0,2021-11-19,103
15757,-,,8,-,,520 View Road,Unknown,OK,nan,0.00036121154729109277,06/09/16,-1
,for_sale,Unknown,3,7,-1,862 King Blvd,Unknown,-,nan,-,2017-12-29,-1
34888,sold,Unknown,3,11,0.22,383 Market St,-,Texas,77025,-,2021-12-16,"144,145"
,sold,4422400,4,-,nan,614 Garden Ct,Pooler,Georgia,31322,9838.0,-,-1
107955,for_sale,2199000,-,-,55.0,20 First Dr,-,,-1,,1992-10-22,-1
22721,s,$799999,-,,0.0082,900 Baker Lane,-,MA,nan,-,-,-1
76215,sold,339000,3,,0.34,-,Bella Vista,-,72714,Unknown,-,-1
,f,Unknown,three,,0.2,88 East Avenue,Unknown,Unknown,78254,,,101
53592,f,Unknown,four,Unknown,nan,779 Third Boulevard,Mchenry,,60050,0.00034306129476584024,04/02/20,-1
-1,Unknown,9400,-,2,49.0,-,Troy,Unknown,62294,Unknown,-,120
687,Unknown,355000,12,2,0.19,,Unknown,Unknown,,-,-,-1
22611,Unknown,$280000,9,Unknown,0.19,952 King Road,,,15146,Unknown,-,-1
57424,s,,Unknown,12,-1,409 Wood Court,Manteca,Unknown,95337,0.00013591167355371902,02/18/22,-1
23017,sold,240000,3,2,0.2,Unknown,Moses Lake,Unknown,,1670.0,2022-03-09,"146,147"
79245,for_sale,Unknown,-,7,nan,254 Princess Ave,Bettendorf,Iowa,52722,-,2016-11-21,"136,137"
86329,for_sale,699000,4,5,nan,Unknown,Wetumpka,Alabama,36092,4758.0,2015-02-19,"130,131"
nan,Unknown,-,Unknown,,,-,San Jacinto,-,,,Unknown,-1
81031,-,219000,,2,,,Chambersburg,Pennsylvania,17202,1189.0,2021-11-24,-1
10437,s,$350000,three,two,1.07,70 Cedar Drive,Unknown,GA,,6.029757805325987e-05,-,"134,135"
nan,sold,Unknown,4,10,0.28,73 Franklin Rd,Unknown,North Carolina,-1,-,-,-1
nan,sold,,,Unknown,66.0,686 East Ln,Unknown,Nevada,nan,,Unknown,-1
22671,,$90000,-,two,nan,,-,MO,63115,,-,-1
19903,s,-,three,9,-1,249 South Place,Houston,TX,77030,,Unknown,-1
-1,-,-,,11,0.0092,-,Albany,-,47320,7.206295913682277e-05,06/19/20,124
nan,for_sale,,Unknown,,,675 Circle Dr,Hulbert,Oklahoma,-1,,2018-04-19,102
53177,f,$105000,Unknown,Unknown,63.0,Unknown,-,OK,,4.304407713498622e-06,-,-1
-1,for_sale,19151500,3,3,0.23,885 Washington Ave,Iselin,,,-,Unknown,129
,-,,,,0.014,,Sumter,South Carolina,29154,Unknown,Unknown,112
19415,for_sale,309000,Unknown,Unknown,0.0098,820 View Ln,,Wisconsin,-1,140.0,2020-02-04,-1
108243,s,$499000,three,three,0.18,Unknown,,Unknown,-1,8.210657713498622e-05,03/30/22,-1
,sold,,Unknown,-,-1,-,-,,nan,9646.0,,116
-1,s,$50000,four,,0.28,286 Bridge Lane,Unknown,MO,63114,0.00039564680899908174,Unknown,117
54093,-,265000,Unknown,1,nan,,-,Florida,-1,321.0,-,"132,133"
58970,-,Unknown,8,12,-1,-,Kensington,,nan,8.967516069788796e-05,-,-1
nan,,15900,Unknown,4,44.0,668 Maple Ave,,-,-1,Unknown,2019-04-19,107
nan,f,$12128700,one,one,0.58,949 Franklin Boulevard,Unknown,-,,,Unknown,-1
33901,f,$225000,-,two,,417 East Court,Greenfield,Unknown,-1,Unknown,Unknown,-1
,-,-,8,7,0.18,-,Unknown,Texas,,,2022-03-31,100
53673,f,$112900,-,two,0.014,-,Mount Pleasant,MI,48858,Unknown,08/13/12,-1
nan,,Unknown,9,7,,,Port Washington,New York,,5828.0,2017-05-05,-1
45936,,-,12,-,nan,293 Terrace Court,Skaneateles,,,0.00032717085629017445,Unknown,-1
85655,sold,Unknown,3,10,-1,159 Meadow Rd,-,Unknown,,Unknown,Unknown,-1
-1,f,$64900,three,two,nan,-,Unknown,CA,90802,-,06/10/16,121
75073,,$375000,10,one,-1,Unknown,,OH,43206,Unknown,07/06/20,-1
nan,s,Unknown,,7,,52 North Boulevard,Unknown,-,nan,Unknown,04/08/22,114
5145,Unknown,-,7,,,59 Park Blvd,,-,nan,10630.0,2022-01-10,-1
82978,-,,Unknown,-,-1,71 Hill Ln,-,-,76502,,Unknown,"142,143"
,,-,7,-,0.23,Unknown,,TX,-1,Unknown,01/19/22,-1
56084,-,$279900,8,two,-1,593 Elm Avenue,Madison,WI,-1,Unknown,-,-1
,,$16752300,8,,0.2,Unknown,Allison Park,,nan,-,04/13/22,-1
-1,for_sale,Unknown,-,,-1,,Unknown,Texas,77082,7890.0,2013-09-26,127
22562,,$210000,,two,53.0,Unknown,Dearborn Heights,MI,,-,,-1
78200,sold,-,3,,-1,Unknown,Akron,-,44314,40.0,2022-02-09,-1
78167,s,-,Unknown,7,0.006,-,Unknown,Unknown,55426,6.84400826446281e-05,Unknown,-1
,-,-,8,7,0.18,-,Unknown,Texas,,,2022-03-31,83
,f,Unknown,three,,0.2,88 East Avenue,Unknown,Unknown,78254,,,53
nan,for_sale,,Unknown,,,675 Circle Dr,Hulbert,Oklahoma,-1,,2018-04-19,70
nan,Unknown,27000,-,Unknown,0.007,977 Adams Blvd,Westford,Unknown,1886,9657.0,2021-11-19,45
-1,,11800,,Unknown,46.0,162 Mill St,,,nan,Unknown,2011-11-14,44
-1,-,,-,,,Unknown,Wichita,-,67207,150.0,,39
nan,-,$56600,,one,61.0,380 Valley Lane,-,OH,-1,4.003099173553719e-05,08/03/20,22
nan,,15900,Unknown,4,44.0,668 Maple Ave,,-,-1,Unknown,2019-04-19,80
nan,-,27800,Unknown,Unknown,0.0087,,Fairfax,Virginia,22030,Unknown,Unknown,10
nan,,,Unknown,11,nan,655 First Street,Unknown,MA,nan,3.640811524334252e-05,,0
-1,Unknown,61900,-,3,nan,47 Lincoln Rd,Bowie,,20720,-,2022-01-04,18
nan,for_sale,-,5,9,-1,217 Church Ln,Calabash,North Carolina,28467,3058.0,,30
,-,,,,0.014,,Sumter,South Carolina,29154,Unknown,Unknown,73
-1,,Unknown,Unknown,-,0.0045,Unknown,Fairview,Michigan,48621,17.0,2022-04-14,33
nan,s,Unknown,,7,,52 North Boulevard,Unknown,-,nan,Unknown,04/08/22,90
,s,Unknown,Unknown,-,6.1e-06,,Alexandria,VA,nan,-,-,4
,sold,,Unknown,-,-1,-,-,,nan,9646.0,,76
-1,s,$50000,four,,0.28,286 Bridge Lane,Unknown,MO,63114,0.00039564680899908174,Unknown,77
-1,Unknown,25700,10,2,nan,95 Meadow Ave,Somerset,-,nan,Unknown,2016-07-01,12
,Unknown,$5200,8,two,0.41,672 West Place,Stuarts Draft,VA,,6.553460743801653e-05,,31
-1,Unknown,9400,-,2,49.0,-,Troy,Unknown,62294,Unknown,-,55
-1,f,$64900,three,two,nan,-,Unknown,CA,90802,-,06/10/16,88
-1,for_sale,,Unknown,11,,277 Princess Dr,Livermore,California,nan,1785.0,2022-04-22,26
-1,Unknown,,8,Unknown,4.44,699 Wilson Dr,Crossville,Unknown,38555,7566.0,Unknown,42
-1,-,-,,11,0.0092,-,Albany,-,47320,7.206295913682277e-05,06/19/20,69
,-,-,7,-,nan,550 Second Pl,Julian,,-1,130.0,,15
nan,sold,-,4,8,,,Great Falls,-,59405,-,2021-11-09,40
-1,for_sale,Unknown,-,,-1,,Unknown,Texas,77082,7890.0,2013-09-26,96
-1,Unknown,5879300,,3,0.0066,-,Sparks,,,1876.0,2004-09-10,9
-1,for_sale,19151500,3,3,0.23,885 Washington Ave,Iselin,,,-,Unknown,72
86329,for_sale,699000,4,5,nan,Unknown,Wetumpka,Alabama,36092,4758.0,2015-02-19,"61,131"
86329,for_sale,699000,4,5,nan,Unknown,Wetumpka,Alabama,36092,4758.0,2015-02-19,"61,130"
54093,-,265000,Unknown,1,nan,,-,Florida,-1,321.0,-,"78,133"
54093,-,265000,Unknown,1,nan,,-,Florida,-1,321.0,-,"78,132"
10437,s,$350000,three,two,1.07,70 Cedar Drive,Unknown,GA,,6.029757805325987e-05,-,"64,135"
10437,s,$350000,three,two,1.07,70 Cedar Drive,Unknown,GA,,6.029757805325987e-05,-,"64,134"
79245,for_sale,Unknown,-,7,nan,254 Princess Ave,Bettendorf,Iowa,52722,-,2016-11-21,"60,137"
79245,for_sale,Unknown,-,7,nan,254 Princess Ave,Bettendorf,Iowa,52722,-,2016-11-21,"60,136"
78184,Unknown,$385000,,Unknown,nan,,North Port,FL,-1,2.90547520661157e-06,,"20,139"
78184,Unknown,$385000,,Unknown,nan,,North Port,FL,-1,2.90547520661157e-06,,"20,138"
,for_sale,Unknown,Unknown,12,0.0064,Unknown,,Massachusetts,2631,1368.0,,"7,141"
,for_sale,Unknown,Unknown,12,0.0064,Unknown,,Massachusetts,2631,1368.0,,"7,140"
82978,-,,Unknown,-,-1,71 Hill Ln,-,-,76502,,Unknown,"92,143"
82978,-,,Unknown,-,-1,71 Hill Ln,-,-,76502,,Unknown,"92,142"
34888,sold,Unknown,3,11,0.22,383 Market St,-,Texas,77025,-,2021-12-16,"48,145"
34888,sold,Unknown,3,11,0.22,383 Market St,-,Texas,77025,-,2021-12-16,"48,144"
23017,sold,240000,3,2,0.2,Unknown,Moses Lake,Unknown,,1670.0,2022-03-09,"59,147"
23017,sold,240000,3,2,0.2,Unknown,Moses Lake,Unknown,,1670.0,2022-03-09,"59,146"
53016,-,239000,9,-,0.56,-,Oak Ridge,-,37830,Unknown,2022-02-02,"8,149"
53016,-,239000,9,-,0.56,-,Oak Ridge,-,37830,Unknown,2022-02-02,"8,148"
