brokered_by,status,price,bed,bath,acre_lot,street,city,state,zip_code,house_size,prev_sold_date
33901,for_sale,225000,2,2,0.33,417 East Ct,Greenfield,Indiana,46140,,2017-07-26
,sold,350000,4,2,0.18,219 Field St,Houston,Texas,,1626.0,2022-03-31
53673,for_sale,112900,-1,2,0.5,169 Meadow St,Mount Pleasant,Michigan,48858,1524.0,2012-08-13
16829,for_sale,1979000,6,6,0.29,400 Adams Ct,Port Washington,New York,11050,5828.0,2017-05-05
45936,for_sale,539900,3,2,,293 Terrace Ct,Skaneateles,New York,13152,1918.0,2015-06-15
85655,sold,249900,3,1,0.22,159 Meadow Rd,Scituate,Rhode Island,2831,1310.0,2022-02-04
29538,for_sale,1150000,3,2,0.37,223 Lake St,Long Beach,California,90802,1409.0,2016-06-10
75073,for_sale,375000,3,1,0.1,766 Church St,Columbus,Ohio,43206,,2020-07-06
22217,sold,898000,3,2,,52 North Blvd,Alhambra,California,91803,1465.0,2022-04-08
5145,,750000,3,4,0.19,59 Park Blvd,Meridian,Idaho,83642,2796.0,2022-01-10
82978,for_sale,335000,3,2,0.18,71 Hill Ln,Temple,Texas,76502,2344.0,2013-05-01
109950,sold,,3,2,0.23,Unknown,Fort Worth,Texas,76133,1552.0,2022-01-19
56084,sold,279900,2,2,,593 Elm Ave,Madison,Wisconsin,53704,1699.0,2021-12-17
10649,sold,219900,3,,0.2,430 Church Rd,Allison Park,Pennsylvania,15101,1188.0,2022-04-13
104873,for_sale,888000,4,4,0.21,210 Church Ln,Houston,Texas,77082,4156.0,2013-09-26
22562,for_sale,210000,3,2,0.15,272 Farm Blvd,Dearborn Heights,Michigan,48125,1960.0,-
78200,sold,149000,3,,0.15,688 Garfield Ct,Akron,Ohio,44314,1560.0,2022-02-09
78167,sold,350000,,2,0.15,324 Sunset St,Saint Louis Park,Minnesota,55426,1908.0,2022-04-01
