brokered_by,status,price,bed,bath,acre_lot,street,city,state,zip_code,house_size,prev_sold_date,duplicate
86329,for_sale,699000,nan,5,39.0,347 Oak Ln,-,,36092,4758,02/19/15,"116,136"
34888,s,389000,7,2,0.22,"Market St, 383",Houston,Texas,nan,54.0,2021-12-16,"124,130"
81316,sold,2400,4,2,0.27,"Center Ln, 285",Fairfax,VA,22030,9135.0,12/10/21,44
82978,for_sale,$335000,3,two,0.001,71 Hill Ln,Temple,Texas,76502,2344,,"148,40"
22792,sold,nan,3,two,0.0027,"Adams Blvd, 977",Westford,Massachusetts,1886,2211,11/19/21,137
nan,-,11800,9,three,0.0088,217 Church Ln,Calabash,North Carolina,28467,3058,2020-03-24,80
nan,for_sale,52300,4,1,0.15,380 Valley Ln,Fairborn,Ohio,-1,1116,-,146
32769,for_sale,$1300000,2,3,27.59,Unknown,Julian,-,92036,986,2020-05-15,99
104876,s,22800,3,2,0.0014,981 Harbor Ave,Unknown,Unknown,60659,1171,11/30/21,-1
,s,585000,3,3,4.44,699 Wilson Dr,Crossville,Tennessee,38555,3352,,60
-1,s,240000,3,nan,0.2,922 Square Ave,Moses Lake,Washington,98837,1670,2022-03-09,"119,117"
96817,-,425000,4,three,0.06,-,Alexandria,VA,22309,2075,2022-02-04,113
82978,f,335000,3,2,0.18,71 Hill Ln,Temple,Texas,76502,2344,2013-05-01,"148,27"
nan,,749000,four,two,0.27,285 Center Ln,-,VA,22030,6556.0,12/10/21,26
nan,for_sale,$425000,one,one,0.0033,949 Franklin Blvd,Palisade,,81526,987,2006-07-06,-1
54093,for_sale,265000,1,-1,0.013,896 Sunset Ct,Marathon,Florida,33050,321,09/20/04,"3,19"
nan,for_sale,$599900,five,five,0.42,254 Princess Ave,Unknown,Iowa,52722,3765,2016-11-21,"59,104"
94681,-,$409900,2,1,0.0029,655 First St,Stockbridge,MA,1262,1015,2021-11-29,53
nan,for_sale,888000,4,four,0.21,210 Church Ln,,Texas,77082,4156,09/26/13,21
53556,for_sale,$375000,5,three,0.3,611 Hill Pl,-,Kansas,67207,2696,,65
-1,sold,-1,10,1,2.12,655 First St,Stockbridge,Massachusetts,nan,3.640811524334252e-05,2021-11-29,49
57424,for_sale,999000,three,2,0.15,277 Princess Dr,Livermore,California,-1,1785,2022-04-22,22
2177,sold,479900,3,2,0.13,842 Cedar Dr,Windsor,CO,80550,2638,03/18/22,-1
nan,sold,259900,four,two,0.13,391 Bridge Rd,,MT,59405,1632,2021-11-09,111
84529,for_sale,1075000,3,3,0.012,162 Mill St,Tustin,California,92782,1928,2011-11-14,16
,f,$599900,5,5,0.42,254 Princess Ave,Unknown,Unknown,52722,0.00013505079201101927,2016-11-21,"104,47"
2765,Unknown,585000,3,3,4.44,"Wilson Dr, 699",Unknown,Tennessee,38555,3352,2022-04-15,34
75016,sold,317900,9,2,0.22,168 Bridge Pl,Kirkwood,Missouri,-1,2032,2021-11-23,-1
56084,s,279900,2,2,0.16,"Elm Ave, 593",Unknown,Wisconsin,nan,1699,2021-12-17,-1
,for_sale,$375000,9,3,0.3,"Hill Pl, 611",Wichita,KS,67207,,2021-11-12,51
nan,sold,$189900,4,1,0.28,286 Bridge Ln,Saint Louis,Missouri,-1,1624,2022-01-18,84
7689,sold,98500,4,1,9.0,-,,Michigan,48621,2064,2022-04-14,71
7689,,68600,4,one,0.00066,272 Broadway Ln,Fairview,Michigan,,7.40358126721763e-05,-,70
,sold,385000,11,three,0.23,390 Madison Ct,North Port,FL,-1,1708,Unknown,"144,115"
,for_sale,375000,9,3,0.0089,"East Ave, 88",San Antonio,Texas,nan,8.415117079889807e-05,2004-05-14,77
nan,-,239000,3,10,0.56,"Main Blvd, 829",Oak Ridge,TN,,1724,2022-02-02,"96,143"
48807,for_sale,375000,3,3,0.2,Unknown,San Antonio,Texas,-1,8.415117079889807e-05,2004-05-14,73
,sold,370000,4,2,0.12,224 Lincoln St,Spokane,Washington,99207,2084,2022-04-05,-1
,for_sale,599500,5,nan,0.37,217 Church Ln,Unknown,North Carolina,28467,3058,03/24/20,29
-1,for_sale,94200,12,7,0.005,668 Maple Ave,Saratoga Springs,Unknown,nan,3625,,126
53377,s,189900,four,one,0.012,286 Bridge Ln,Unknown,MO,-1,1624,2022-01-18,67
22217,-,$898000,3,two,0.0047,"North Blvd, 52",Alhambra,CA,nan,82.0,2022-04-08,123
10726,for_sale,28500,3,2,0.83,"Square Rd, 226",Brewster,Massachusetts,2631,140.0,2001-07-06,"133,7"
nan,for_sale,$150000,4,two,10.0,"Circle Dr, 675",,OK,nan,6.800964187327824e-05,2018-04-19,149
-1,sold,339900,three,two,0.0055,676 South Blvd,Unknown,Illinois,62294,1613,2022-01-26,18
16829,Unknown,,4,2,0.18,"Field St, 219",Houston,TX,77021,1626,,107
,sold,350000,3,2,1.07,70 Cedar Dr,Cumming,Georgia,30041,1681,02/23/22,"6,94"
10437,sold,350000,3,8,1.07,70 Cedar Dr,Cumming,-,-1,6.029757805325987e-05,2022-02-23,"6,93"
53016,sold,239000,7,2,0.56,829 Main Blvd,,Tennessee,37830,1724,,"76,143"
,sold,249900,3,two,0.41,672 West Pl,Stuarts Draft,,24477,1827,2022-02-14,5
32769,f,1300000,2,3,43.0,550 Second Pl,-,California,nan,-1,2020-05-15,31
31355,s,$2365000,5,five,0.0082,592 Meadow Ave,Edina,Minnesota,55424,4905,Unknown,-1
103967,f,$635000,3,three,0.23,885 Washington Ave,Iselin,New Jersey,8830,2000,2019-02-28,131
nan,for_sale,$599900,5,8,0.42,"Princess Ave, 254",Bettendorf,Iowa,52722,3765,2016-11-21,"59,47"
,sold,292677,5,3,0.014,63 Field Dr,Sumter,South Carolina,29154,0.00010904499540863178,2021-12-22,0
16829,sold,350000,4,2,0.0059,219 Field St,Houston,Texas,77021,1626,2022-03-31,92
nan,sold,219000,3,7,0.31,73 Lake Ln,Chambersburg,PA,17202,1189,2021-11-24,-1
26012,sold,$259900,4,2,0.012,391 Bridge Rd,,Unknown,59405,nan,2021-11-09,57
96817,sold,$425000,four,3,0.06,33 Pine Ave,Alexandria,Virginia,22309,2075,2022-02-04,38
78184,s,385000,3,three,0.23,390 Madison Ct,North Port,Florida,-1,1708,2022-03-18,"144,72"
86329,for_sale,699000,4,5,14.25,"Oak Ln, 347",Wetumpka,Alabama,36092,4758,02/19/15,"136,24"
23017,s,75400,three,2,0.2,922 Square Ave,Unknown,Washington,-1,1670,2022-03-09,"119,35"
-1,sold,240000,3,2,0.0085,922 Square Ave,Moses Lake,Washington,98837,1670,03/09/22,"35,117"
22217,sold,898000,3,2,0.21,52 North Blvd,Unknown,CA,91803,1465,,86
34888,sold,$389000,3,2,0.22,383 Market St,Houston,Texas,77025,1696,2021-12-16,"130,25"
29538,for_sale,1150000,3,2,0.37,223 Lake St,,California,,5.054092056932966e-05,2016-06-10,142
51274,-,774000,6,4,0.35,668 Maple Ave,Unknown,Utah,84043,3625,04/19/19,83
105798,for_sale,-1,9,3,0.0081,"Spring Ave, 195",Unknown,Indiana,nan,160.0,2020-06-19,17
,sold,280000,4,2,0.19,952 King Rd,-,PA,-1,120.0,04/19/22,-1
34888,sold,389000,three,2,0.015,383 Market St,Houston,Texas,-1,6.08356290174472e-05,12/16/21,"124,25"
103967,for_sale,635000,three,three,0.014,885 Washington Ave,Iselin,NJ,8830,7.174012855831037e-05,02/28/19,103
,for_sale,425000,3,two,-1,226 Square Rd,Unknown,Massachusetts,2631,4.9070247933884296e-05,07/06/01,"87,7"
86329,for_sale,699000,4,5,14.25,347 Oak Ln,Wetumpka,Alabama,36092,4758,02/19/15,"116,24"
,sold,nan,3,2,0.01,977 Adams Blvd,,Massachusetts,,7.930871212121212e-05,2021-11-19,28
68269,sold,389854,three,6,0.015,144 Terrace Blvd,Caldwell,Unknown,83605,5.6459481175390266e-05,12/17/21,4
29538,for_sale,1150000,three,2,0.015,223 Lake St,,California,90802,1409,2016-06-10,125
53016,sold,65600,3,2,0.56,829 Main Blvd,Oak Ridge,,,1724,2022-02-02,"96,76"
,,385000,3,three,0.23,390 Madison Ct,Unknown,Florida,,1708,2022-03-18,"72,115"
-1,f,115900,11,one,0.15,380 Valley Ln,Fairborn,Ohio,,110.0,2020-08-03,30
81311,sold,96200,5,4,0.22,Unknown,Leland,North Carolina,28451,0.00010965478650137742,2022-04-22,-1
82978,f,335000,three,two,0.0057,71 Hill Ln,Temple,Unknown,nan,2344,2013-05-01,"40,27"
52946,for_sale,150000,4,2,10.0,675 Circle Dr,Hulbert,OK,nan,6.800964187327824e-05,2018-04-19,89
