brokered_by,status,price,bed,bath,acre_lot,street,city,state,zip_code,house_size,prev_sold_date,duplicate
16829,for_sale,$1979000,6,6,0.29,400 Adams Ct,Port Washington,New York,11050,5828,2017-05-05,-1
101497,for_sale,129900,4,2,1.95,575 King Pl,Eastover,South Carolina,,2128,2021-09-20,-1
53556,for_sale,375000,5,3,0.0067,611 Hill Pl,Wichita,Kansas,67207,9.670569329660238e-05,11/12/21,41
10649,sold,219900,3,2,0.2,430 Church Rd,Allison Park,Pennsylvania,-1,1188,2022-04-13,-1
,sold,750000,9,4,0.19,"Park Blvd, 59",Meridian,Idaho,,2796,01/10/22,-1
53592,for_sale,619900,4,6,2.1,-,Mchenry,Illinois,60050,4145,2020-04-02,-1
107955,for_sale,2199000,three,3,0.3,20 First Dr,,Massachusetts,2043,3650,1992-10-22,-1
78200,sold,149000,3,2,0.15,688 Garfield Ct,Akron,Ohio,44314,310.0,2022-02-09,-1
15757,for_sale,69900,3,1,0.17,520 View Rd,Enid,Oklahoma,73701,1333,2016-06-09,-1
16829,sold,350000,4,2,0.18,219 Field St,Houston,Texas,77021,1626,2022-03-31,77
86329,for_sale,699000,4,5,14.25,347 Oak Ln,Wetumpka,Alabama,36092,4758,2015-02-19,-1
22671,sold,90000,3,2,0.09,553 Third Ct,Saint Louis,Missouri,63115,1152,2022-03-24,"46,88"
16829,sold,350000,4,2,0.18,219 Field St,Houston,Texas,77021,1626,2022-03-31,74
22611,for_sale,215000,3,2,0.12,995 Maple Ave,Calumet City,Illinois,60409,1304,-,-1
57424,sold,935000,5,five,0.0029,409 Wood Ct,Manteca,California,95337,3789,2022-02-18,-1
56084,sold,279900,two,2,0.16,593 Elm Ave,Madison,Wisconsin,53704,1699,2021-12-17,-1
22611,sold,280000,4,9,0.19,952 King Rd,Monroeville,Pennsylvania,15146,1874,2022-04-19,-1
108243,sold,499000,3,3,0.18,"Meadow Ct, 197",Kennewick,Washington,99337,2289,03/30/22,-1
,for_sale,519950,4,3,0.13,906 Mill Blvd,Huntsville,Alabama,35801,2778,2020-03-09,-1
22792,sold,525000,3,2,0.59,977 Adams Blvd,Westford,Massachusetts,1886,2211,2021-11-19,7
81031,sold,219000,3,2,0.31,73 Lake Ln,,Pennsylvania,17202,1189,Unknown,-1
22671,sold,90000,3,2,0.09,553 Third Ct,Saint Louis,Missouri,63115,1152,2022-03-24,"46,76"
45913,sold,250000,3,2,0.86,94 Washington Ave,Queensbury,NY,,1883,2021-11-23,-1
106177,for_sale,399500,3,3,0.27,411 Wilson Ave,Savannah,Unknown,31405,1760,2002-06-03,-1
22562,for_sale,210000,11,2,0.15,272 Farm Blvd,Dearborn Heights,Michigan,48125,1960,2010-10-14,-1
109978,sold,760000,3,2,0.36,760 Madison Ln,Escondido,California,nan,1888,2021-12-22,-1
76215,sold,339000,3,3,0.34,60 Franklin Ave,Bella Vista,Arkansas,72714,2035,-,-1
-1,sold,325000,3,2,8.36,651 Vista Blvd,Plato,Missouri,65552,1784,2021-12-17,-1
109987,for_sale,490000,3,4,0.16,229 Broadway Ave,Corpus Christi,Texas,78418,2416,2019-04-03,"18,102"
28222,sold,2450000,4,4,0.19,687 Wilson Ave,Los Angeles,CA,90064,2751,2022-02-22,-1
85655,sold,249900,3,1,0.22,159 Meadow Rd,Unknown,RI,2831,1310,2022-02-04,-1
78167,sold,$350000,3,2,0.021,324 Sunset St,Saint Louis Park,Minnesota,55426,1908,2022-04-01,-1
19415,for_sale,309000,3,2,3.0,820 View Ln,,,54862,2025,2020-02-04,-1
45936,for_sale,539900,3,two,0.21,293 Terrace Ct,Skaneateles,New York,13152,1918,2015-06-15,-1
33901,for_sale,225000,2,2,0.33,"East Ct, 417",Greenfield,Indiana,46140,1456,Unknown,-1
,for_sale,43200,3,4,0.16,229 Broadway Ave,Corpus Christi,Texas,78418,2416,2019-04-03,"95,18"
78184,sold,385000,3,3,0.23,390 Madison Ct,North Port,Florida,34286,1708,2022-03-18,-1
79245,for_sale,599900,5,5,0.42,254 Princess Ave,Bettendorf,Iowa,52722,3765,,-1
53177,for_sale,105000,3,2,0.24,434 Court Ct,Woodward,Oklahoma,73801,2036,2007-06-29,-1
81311,sold,575000,5,4,0.22,827 Elm Ct,Leland,North Carolina,28451,3057,2022-04-22,-1
82978,for_sale,335000,3,2,0.18,71 Hill Ln,Temple,Texas,76502,2344,2013-05-01,-1
22721,sold,799999,4,4,0.15,900 Baker Ln,Natick,Massachusetts,1760,3422,2022-04-05,-1
52946,for_sale,10400,4,2,10.0,675 Circle Dr,-,Oklahoma,74441,1896,2018-04-19,15
