brokered_by,status,price,bed,bath,acre_lot,street,city,state,zip_code,house_size,prev_sold_date,duplicate
53173,s,350000,3,two,0.9,693 Ridge Pl,Harpers Ferry,West Virginia,25425,3220,12/10/21,"73,90"
23017,sold,240000,3,2,0.2,"Square Ave, 922",Moses Lake,,98837,1670,2022-03-09,-1
94681,s,$409900,2,8,2.12,655 First St,Stockbridge,Massachusetts,1262,1015,Unknown,29
45913,sold,250000,3,two,0.86,"Washington Ave, 94",Queensbury,New York,12804,1883,2021-11-23,-1
106177,for_sale,399500,3,8,0.27,"Wilson Ave, 411",Savannah,Georgia,31405,1760,2002-06-03,-1
51274,for_sale,774000,6,4,0.35,668 Maple Ave,Saratoga Springs,Utah,84043,3625,04/19/19,17
68269,sold,389854,three,two,0.15,144 Terrace Blvd,Caldwell,Idaho,83605,1574,2021-12-17,67
109978,sold,760000,three,2,0.36,760 Madison Ln,Escondido,California,92026,1888,2021-12-22,-1
81671,sold,325000,11,2,8.36,651 Vista Blvd,Plato,MO,65552,6.399219467401285e-05,2021-12-17,-1
22792,sold,525000,11,two,0.59,"Adams Blvd, 977",Westford,Massachusetts,1886,2211,2021-11-19,25
78167,sold,350000,3,two,0.15,"Sunset St, 324",Saint Louis Park,Minnesota,,1908,04/01/22,-1
3479,sold,419000,5,11,0.3,864 Lake Ln,,TX,-1,3110,12/09/21,"11,84"
-1,for_sale,309000,3,2,0.0021,"View Ln, 820",Ojibwa,Wisconsin,,2025,Unknown,-1
45936,for_sale,539900,3,2,0.21,293 Terrace Ct,Unknown,New York,13152,1918,06/15/15,-1
,sold,355000,3,2,0.0034,-,Orlando,Florida,32828,1864,2021-12-08,"5,22"
-1,sold,750000,three,4,0.19,59 Park Blvd,Meridian,Idaho,83642,2796,2022-01-10,"91,53"
78184,sold,385000,3,3,0.23,390 Madison Ct,North Port,Florida,-1,79.0,2022-03-18,-1
79245,for_sale,599900,5,five,0.42,254 Princess Ave,Bettendorf,Iowa,52722,3765,2016-11-21,-1
53177,-,105000,three,9,0.24,434 Court Ct,Woodward,Oklahoma,-1,2036,2007-06-29,-1
-1,for_sale,0,4,1,0.15,380 Valley Ln,Fairborn,Ohio,-1,4.003099173553719e-05,2020-08-03,39
81311,sold,79700,5,4,0.22,827 Elm Ct,Leland,North Carolina,28451,3057,2022-04-22,-1
82978,for_sale,55200,three,two,0.014,71 Hill Ln,Temple,Texas,76502,2344,-,-1
,for_sale,150000,4,2,10.0,675 Circle Dr,Hulbert,OK,74441,1896,2018-04-19,26
