brokered_by;status;price;bed;bath;acre_lot;street;city;state;zip_code;house_size;prev_sold_date;duplicate
52277;sold;18900;3;2;0.3;28 Bridge Ln;Saint-Louis;Missuri;63113;1623;2022-1-19;29
78200;sold;149000;3;2;0.15;688 Garfield Ct;Akron;Ohio;44314;1560;2022-02-09;-1
51450;sold;7500000;4;5;19.0;59 Park;Meridiano;Idao;82642;2800;2022-1-1;70,92
48807;for_sale;375000;3;3;0.2;88 East Ave;San Antonio;Texas;78254;2346;2004-05-14;59
81824;sold;292677;5;3;0.29;63 Field Dr;Sumter;South Carolina;29154;3040;2021-12-22;61
53556;for_sale;375000;5;3;0.3;611 Hill Pl;Wichita;Kansas;67207;2696;2021-11-12;5
21986;sold;269900;4;3;0.17;614 Garden Ct;Pooler;Georgia;31322;2368;2021-12-30;-1
2562;for_sale;21000;4;3;0.1;272 Far Blvd;Dearborn Height;michigan;48225;2000;0201-10-14;10,35
16829;for_sale;1979000;6;6;0.29;400 Adams Ct;Port Washington;New York;11050;5828;2017-05-05;-1
10726;for_sale;425000;3;2;0.83;226 Square Rd;Brewster;Massachusetts;2631;1368;2001-07-06;-1
56699;sold;249900;3;2;0.29;115 Roosevelt Pl;Ellisville;Missouri;63011;2037;2022-03-04;-1
68269;sold;389854;3;2;0.15;144 Terrace Blvd;Caldwell;Idaho;83605;1574;2021-12-17;83
84529;for_sale;1075000;3;3;0.06;162 Mill St;Tustin;California;92782;1928;2011-11-14;31
532138;sold;480000;4;4;2.2;478 Lincoln Rd;Bawie;Marylan;2072;23755;2022-1-5;14
56084;sold;279900;2;2;0.16;593 Elm Ave;Madison;Wisconsin;53704;1699;2021-12-17;17,67
53173;sold;350000;3;2;0.9;693 Ridge Pl;Harpers Ferry;West Virginia;25425;3220;2021-12-10;69,77
31355;sold;2365000;5;5;0.19;592 Meadow Ave;Edina;Minnesota;55424;4905;2021-12-30;-1
45807;for_sale;375000;3;2;6.69;157 Market Pl;New Middletown;Ohio;44442;1747;1991-04-17;-1
103967;for_sale;635000;3;3;0.23;885 Washington Ave;Iselin;New Jersey;8830;2000;2019-02-28;-1
48807;for_sale;375000;3;3;0.2;88 East Ave;San Antonio;Texas;78254;2346;2004-05-14;43
16829;sold;350000;4;2;0.18;219 Field St;Houston;Texas;77021;1626;2022-03-31;11
82824;sold;293000;4;2;0.3;63 Fild Dr;Soumter;Sud Carolina;20154;3030;2021-22-22;44
22212;sold;900000;4;3;0.22;52 Nort Blvd;Alambra;Californa;91893;1500;2022-4-9;72
107955;for_sale;2199000;3;3;0.3;20 First Dr;Hingham;Massachusetts;2043;3650;1992-10-22;-1
3479;sold;419000;5;4;0.3;864 Lake Ln;Irving;Texas;75060;3110;2021-12-09;7,88
81216;sold;750000;3;3;277.0;2385 Center Ln;Fairfox;Veirginia;222030;2950;2021-12-1;15
86329;for_sale;699000;4;5;14.25;347 Oak Ln;Wetumpka;Alabama;36092;4758;2015-02-19;-1
56184;sold;279990;1;1;0.166;593 Elm;Medison;Wishconsin;53604;169;2021-112-17;54,17
58970;sold;949900;3;4;0.23;828 Spring St;Kensington;Maryland;20895;2500;2021-12-30;-1
53373;sold;35000;4;3;0.99;6903 Ridge Pl;Harper Ferry;W. Virginia;254254;3200;2021-12-12;55,77
5145;sold;750000;3;4;0.19;59 Park Blvd;Meridian;Idaho;83642;2796;2022-01-10;42,92
57424;sold;935000;5;5;0.16;409 Wood Ct;Manteca;California;95337;3789;2022-02-18;-1
22217;sold;898000;3;2;0.21;52 North Blvd;Alhambra;California;91803;1465;2022-04-08;62
34888;sold;389000;3;2;0.22;383 Market St;Houston;Texas;77025;1696;2021-12-16;-1
2385;for_sale;600000;4;2;0.375;217 Chuch Ln;Calbash;northcarolina;28466;3060;2020-4-24;33
108243;sold;499000;3;3;0.18;197 Meadow Ct;Kennewick;Washington;99337;2289;2022-03-30;-1
4630;for_sale;519950;4;3;0.13;906 Mill Blvd;Huntsville;Alabama;35801;2778;2020-03-09;-1
531373;sold;355000;2;1;9.9;693 Ridge;Harpers F.;West-Virginia;2525;3222;2020-12-10;55,69
23017;sold;240000;3;2;0.2;922 Square Ave;Moses Lake;Washington;98837;1670;2022-03-09;-1
946891;sold;40900;3;2;21.2;655 First Street;Stocbridg;massachusetts;12620;101;2021-11-290;22
45913;sold;250000;3;2;0.86;94 Washington Ave;Queensbury;New York;12804;1883;2021-11-23;-1
106177;for_sale;399500;3;3;0.27;411 Wilson Ave;Savannah;Georgia;31405;1760;2002-06-03;-1
5127;for_sale;775000;5;3;0.05;668 Mapl Ave;Saratoga Spring;Uthah;8443;362;2019-94-19;12
68279;sold;389954;4;3;0.5;144 Terrace Boulevard;Caldwel;Idao;83615;1575;2021-12-16;51
109978;sold;760000;3;2;0.36;760 Madison Ln;Escondido;California;92026;1888;2021-12-22;-1
81671;sold;325000;3;2;8.36;651 Vista Blvd;Plato;Missouri;65552;1784;2021-12-17;-1
22792;sold;525000;3;2;0.59;977 Adams Blvd;Westford;Massachusetts;1886;2211;2021-11-19;18
78167;sold;350000;3;2;0.15;324 Sunset St;Saint Louis Park;Minnesota;55426;1908;2022-04-01;-1
3479;sold;419000;5;4;0.3;864 Lake Ln;Irving;Texas;75060;3110;2021-12-09;7,64
19415;for_sale;309000;3;2;3.0;820 View Ln;Ojibwa;Wisconsin;54862;2025;2020-02-04;-1
45936;for_sale;539900;3;2;0.21;293 Terrace Ct;Skaneateles;New York;13152;1918;2015-06-15;-1
687;sold;355000;3;2;0.19;272 Terrace Ln;Orlando;Florida;32828;1864;2021-12-08;4,16
5155;sold;75000;4;3;1.9;Park Blvd;Meridan;Idajo;83624;2769;2022-10-10;70,42
78184;sold;385000;3;3;0.23;390 Madison Ct;North Port;Florida;34286;1708;2022-03-18;-1
79245;for_sale;599900;5;5;0.42;254 Princess Ave;Bettendorf;Iowa;52722;3765;2016-11-21;-1
53177;for_sale;105000;3;2;0.24;434 Court Ct;Woodward;Oklahoma;73801;2036;2007-06-29;-1
81122;for_sale;116000;5;2;0.01;380 Valley;Feirborn;Ohioo;453224;1120;2020-8-2;30
81311;sold;575000;5;4;0.22;827 Elm Ct;Leland;North Carolina;28451;3057;2022-04-22;-1
82978;for_sale;335000;3;2;0.18;71 Hill Ln;Temple;Texas;76502;2344;2013-05-01;-1
52946;for_sale;150000;4;2;10.0;675 Circle Dr;Hulbert;Oklahoma;74441;1896;2018-04-19;19
