brokered_by;status;price;bed;bath;acre_lot;street;city;state;zip_code;house_size;prev_sold_date;duplicate
-1.0;sold;-;-;9;88.0;144 Terace Blvd;;Idao;83650.0;1575.0;2012-12-17;67
109978.0;-;760000;Unknown;2;;760 Madison Ln;-;California;92026.0;1888.0;2021-12-22;-1
76215.0;sold;339000;3;-;0.34;-;Bella Vista;-;72714.0;11060.0;-;-1
81671.0;sold;325000;Unknown;Unknown;61.0;651 Vista Blvd;;Unknown;65552.0;8318.0;2021-12-17;-1
109987.0;;490000;;4;0.00047;229 Broadway Ave;Corpus Christi;Texas;;Unknown;2019-04-03;-1
28222.0;sold;2450000;;4;63.0;687 Wilson Ave;;California;90064.0;2751.0;2022-02-22;-1
-1.0;sold;6500;Unknown;2;46.0;977 Adams Blvd;Westford;Massachusetts;1886.0;2211.0;2021-11-19;25
78167.0;sold;-;Unknown;12;11.0;324 Sunset St;Unknown;Minnesota;55426.0;1908.0;2022-04-01;-1
85655.0;sold;Unknown;3;10;-1.0;159 Meadow Rd;Scituate;Unknown;2831.0;1310.0;2022-02-04;-1
3479.0;s;Unknown;five;11;0.3;864 Lake Lane;Irving;TX;75060.0;0.00011155589990817264;12/09/21;11,84
19415.0;for_sale;309000;-;-;54.0;820 View Ln;Ojibwa;Wisconsin;-1.0;11230.0;2020-02-04;-1
45936.0;f;-;three;11;-1.0;293 Terrace Court;Skaneateles;NY;13152.0;6.879878328741965e-05;06/15/15;-1
33901.0;for_sale;225000;2;2;-1.0;417 East Ct;Greenfield;Unknown;-1.0;-;-;-1
687.0;;355000;7;2;0.19;-;;Florida;;Unknown;-;5,22
514.0;;;Nine;Unknown;-1.0;Park Blvd;;;;8532.85;0202-1-10;91,53
78184.0;-;385000;-;-;53.0;390 Madison Ct;North Port;Florida;34286.0;9061.0;2022-03-18;-1
79245.0;for_sale;;;9;-1.0;254 Princess Ave;Bettendorf;Iowa;52722.0;3765.0;2016-11-21;-1
53177.0;f;$105000;three;-;0.24;Unknown;Woodward;OK;-1.0;4.6631083562901745e-06;;-1
-1.0;;60000;6;2;1.5;380 Valley Lane;Unknown;Oaio;4534.0;1120.0;2020-9-3;39
81311.0;s;$575000;five;;;827 Elm Court;Leland;-;-1.0;Unknown;04/22/22;-1
82978.0;-;;;7;-1.0;71 Hill Ln;Temple;Texas;76502.0;-;2013-05-01;-1
;for_sale;-;Unknown;;45.0;675 Circle Dr;Hulbert;Oklahoma;74441.0;7294.0;2018-04-19;26
